date,doge
2019-12-29,63
2020-01-05,64
2020-01-12,65
2020-01-19,62
2020-01-26,69
2020-02-02,61
2020-02-09,65
2020-02-16,63
2020-02-23,66
2020-03-01,65
2020-03-08,62
2020-03-15,56
2020-03-22,52
2020-03-29,55
2020-04-05,54
2020-04-12,50
2020-04-19,58
2020-04-26,55
2020-05-03,55
2020-05-10,65
2020-05-17,59
2020-05-24,82
2020-05-31,71
2020-06-07,72
2020-06-14,66
2020-06-21,64
2020-06-28,63
2020-07-05,100
2020-07-12,81
2020-07-19,70
2020-07-26,67
2020-08-02,68
2020-08-09,63
2020-08-16,71
2020-08-23,65
2020-08-30,67
2020-09-06,67
2020-09-13,66
2020-09-20,69
2020-09-27,64
2020-10-04,56
2020-10-11,53
2020-10-18,61
2020-10-25,52
2020-11-01,49
2020-11-08,52
2020-11-15,50
2020-11-22,55
2020-11-29,53
2020-12-06,54
2020-12-13,54
2020-12-20,74
2020-12-27,85
2021-01-03,9
2021-01-10,7
2021-01-17,5
2021-01-24,56
2021-01-31,41
2021-02-07,46
2021-02-14,21
2021-02-21,15
2021-02-28,11
2021-03-07,12
2021-03-14,11
2021-03-21,8
2021-03-28,10
2021-04-04,9
2021-04-11,72
2021-04-18,73
2021-04-25,33
2021-05-02,100
2021-05-09,97
2021-05-16,41
2021-05-23,27
2021-05-30,27
2021-06-06,19
2021-06-13,15
2021-06-20,21
2021-06-27,21
2021-07-04,24
2021-07-11,15
2021-07-18,15
2021-07-25,14
2021-08-01,13
2021-08-08,15
2021-08-15,16
2021-08-22,13
2021-08-29,12
2021-09-05,12
2021-09-12,10
2021-09-19,9
2021-09-26,9
2021-10-03,13
2021-10-10,13
2021-10-17,14
2021-10-24,25
2021-10-31,23
2021-11-07,17
2021-11-14,15
2021-11-21,12
2021-11-28,13
2021-12-05,11
2021-12-12,16
2021-12-19,13
2021-12-26,13
2022-01-02,88
2022-01-09,100
2022-01-16,90
2022-01-23,71
2022-01-30,64
2022-02-06,61
2022-02-13,58
2022-02-20,52
2022-02-27,48
2022-03-06,44
2022-03-13,45
2022-03-20,47
2022-03-27,50
2022-04-03,54
2022-04-10,51
2022-04-17,48
2022-04-24,58
2022-05-01,48
2022-05-08,51
2022-05-15,45
2022-05-22,44
2022-05-29,44
2022-06-05,37
2022-06-12,44
2022-06-19,43
2022-06-26,40
2022-07-03,37
2022-07-10,32
2022-07-17,37
2022-07-24,31
2022-07-31,33
2022-08-07,38
2022-08-14,43
2022-08-21,34
2022-08-28,36
2022-09-04,33
2022-09-11,35
2022-09-18,34
2022-09-25,32
2022-10-02,34
2022-10-09,31
2022-10-16,32
2022-10-23,58
2022-10-30,72
2022-11-06,44
2022-11-13,38
2022-11-20,34
2022-11-27,38
2022-12-04,32
2022-12-11,32
2022-12-18,28
2022-12-25,35
2023-01-01,31
2023-01-08,32
2023-01-15,32
2023-01-22,32
2023-01-29,38
2023-02-05,42
2023-02-12,45
2023-02-19,36
2023-02-26,30
2023-03-05,30
2023-03-12,30
2023-03-19,30
2023-03-26,31
2023-04-02,100
2023-04-09,37
2023-04-16,40
2023-04-23,32
2023-04-30,32
2023-05-07,30
2023-05-14,31
2023-05-21,30
2023-05-28,30
2023-06-04,28
2023-06-11,28
2023-06-18,29
2023-06-25,27
2023-07-02,24
2023-07-09,25
2023-07-16,24
2023-07-23,31
2023-07-30,25
2023-08-06,22
2023-08-13,29
2023-08-20,36
2023-08-27,25
2023-09-03,24
2023-09-10,23
2023-09-17,23
2023-09-24,21
2023-10-01,21
2023-10-08,20
2023-10-15,20
2023-10-22,25
2023-10-29,23
2023-11-05,23
2023-11-12,27
2023-11-19,22
2023-11-26,25
2023-12-03,34
2023-12-10,29
2023-12-17,28
2023-12-24,23
2023-12-31,24
2024-01-01,24
2024-01-02,29
2024-01-03,26
2024-01-04,25
2024-01-05,25
2024-01-06,25
2024-01-07,27
2024-01-08,26
2024-01-09,26
2024-01-10,26
2024-01-11,32
2024-01-12,28
2024-01-13,26
2024-01-14,24
2024-01-15,22
2024-01-16,24
2024-01-17,25
2024-01-18,26
2024-01-19,24
2024-01-20,27
2024-01-21,34
2024-01-22,25
2024-01-23,24
2024-01-24,24
2024-01-25,26
2024-01-26,28
2024-01-27,25
2024-01-28,23
2024-01-29,24
2024-01-30,26
2024-01-31,27
2024-02-01,25
2024-02-02,28
2024-02-03,24
2024-02-04,25
2024-02-05,24
2024-02-06,26
2024-02-07,24
2024-02-08,28
2024-02-09,29
2024-02-10,26
2024-02-11,26
2024-02-12,26
2024-02-13,29
2024-02-14,29
2024-02-15,32
2024-02-16,29
2024-02-17,27
2024-02-18,25
2024-02-19,27
2024-02-20,27
2024-02-21,27
2024-02-22,27
2024-02-23,29
2024-02-24,26
2024-02-25,27
2024-02-26,27
2024-02-27,39
2024-02-28,57
2024-02-29,70
2024-03-01,56
2024-03-02,64
2024-03-03,57
2024-03-04,89
2024-03-05,100
2024-03-06,65
2024-03-07,55
2024-03-08,60
2024-03-09,59
2024-03-10,55
2024-03-11,55
2024-03-12,51
2024-03-13,48
2024-03-14,62
2024-03-15,50
2024-03-16,44
2024-03-17,42
2024-03-18,40
2024-03-19,40
2024-03-20,39
2024-03-21,40
2024-03-22,38
2024-03-23,43
2024-03-24,40
2024-03-25,45
2024-03-26,42
2024-03-27,41
2024-03-28,77
2024-03-29,55
2024-03-30,46
2024-03-31,47
2024-04-01,43
2024-04-02,40
2024-04-03,37
2024-04-04,38
2024-04-05,35
2024-04-06,34
2024-04-07,40
2024-04-08,39
2024-04-09,35
2024-04-10,35
2024-04-11,38
2024-04-12,39
2024-04-13,37
2024-04-14,37
2024-04-15,36
2024-04-16,33
2024-04-17,35
2024-04-18,36
2024-04-19,39
2024-04-20,37
2024-04-21,33
2024-04-22,33
2024-04-23,32
2024-04-24,32
2024-04-25,33
2024-04-26,33
2024-04-27,29
2024-04-28,29
2024-04-29,30
2024-04-30,30
2024-05-01,27
