date,polygon
2019-12-29,32
2020-01-05,50
2020-01-12,50
2020-01-19,50
2020-01-26,53
2020-02-02,54
2020-02-09,56
2020-02-16,54
2020-02-23,55
2020-03-01,55
2020-03-08,51
2020-03-15,48
2020-03-22,53
2020-03-29,63
2020-04-05,66
2020-04-12,72
2020-04-19,78
2020-04-26,75
2020-05-03,70
2020-05-10,67
2020-05-17,63
2020-05-24,59
2020-05-31,75
2020-06-07,90
2020-06-14,96
2020-06-21,100
2020-06-28,99
2020-07-05,91
2020-07-12,78
2020-07-19,73
2020-07-26,64
2020-08-02,59
2020-08-09,59
2020-08-16,65
2020-08-23,64
2020-08-30,68
2020-09-06,66
2020-09-13,66
2020-09-20,70
2020-09-27,63
2020-10-04,63
2020-10-11,58
2020-10-18,55
2020-10-25,50
2020-11-01,48
2020-11-08,49
2020-11-15,47
2020-11-22,45
2020-11-29,47
2020-12-06,53
2020-12-13,50
2020-12-20,36
2020-12-27,37
2021-01-03,42
2021-01-10,47
2021-01-17,47
2021-01-24,49
2021-01-31,46
2021-02-07,50
2021-02-14,46
2021-02-21,51
2021-02-28,58
2021-03-07,55
2021-03-14,55
2021-03-21,53
2021-03-28,47
2021-04-04,50
2021-04-11,53
2021-04-18,52
2021-04-25,74
2021-05-02,66
2021-05-09,86
2021-05-16,100
2021-05-23,94
2021-05-30,67
2021-06-06,65
2021-06-13,60
2021-06-20,53
2021-06-27,50
2021-07-04,52
2021-07-11,47
2021-07-18,45
2021-07-25,48
2021-08-01,47
2021-08-08,55
2021-08-15,50
2021-08-22,52
2021-08-29,53
2021-09-05,56
2021-09-12,59
2021-09-19,58
2021-09-26,52
2021-10-03,57
2021-10-10,52
2021-10-17,55
2021-10-24,59
2021-10-31,57
2021-11-07,58
2021-11-14,56
2021-11-21,56
2021-11-28,60
2021-12-05,66
2021-12-12,57
2021-12-19,55
2021-12-26,55
2022-01-02,95
2022-01-09,77
2022-01-16,81
2022-01-23,88
2022-01-30,81
2022-02-06,88
2022-02-13,92
2022-02-20,88
2022-02-27,92
2022-03-06,100
2022-03-13,97
2022-03-20,94
2022-03-27,97
2022-04-03,96
2022-04-10,80
2022-04-17,80
